d3mIndex,class
0,GRASS
1,GRASS
2,GRASS
3,GRASS
4,GRASS
5,GRASS
6,GRASS
7,GRASS
8,GRASS
9,GRASS
10,GRASS
11,GRASS
12,GRASS
13,GRASS
14,GRASS
15,GRASS
16,GRASS
17,GRASS
18,GRASS
19,GRASS
20,GRASS
21,GRASS
22,GRASS
23,GRASS
24,GRASS
25,GRASS
26,GRASS
27,GRASS
28,GRASS
29,GRASS
30,GRASS
31,GRASS
32,GRASS
33,GRASS
34,GRASS
35,GRASS
36,GRASS
37,GRASS
38,GRASS
39,GRASS
40,GRASS
41,GRASS
42,GRASS
43,GRASS
44,GRASS
45,GRASS
46,GRASS
47,GRASS
48,PATH
49,PATH
50,PATH
51,PATH
52,PATH
53,PATH
54,PATH
55,PATH
56,PATH
57,PATH
58,PATH
59,PATH
60,PATH
61,PATH
62,PATH
63,PATH
64,PATH
65,PATH
66,PATH
67,PATH
68,PATH
69,PATH
70,PATH
71,PATH
72,PATH
73,PATH
74,PATH
75,PATH
76,PATH
77,PATH
78,PATH
79,PATH
80,PATH
81,PATH
82,PATH
83,PATH
84,PATH
85,PATH
86,PATH
87,PATH
88,PATH
89,PATH
90,PATH
91,PATH
92,PATH
93,PATH
94,PATH
95,PATH
96,PATH
97,PATH
98,PATH
99,PATH
100,PATH
101,PATH
102,PATH
103,PATH
104,PATH
105,PATH
106,PATH
107,PATH
108,PATH
109,PATH
110,PATH
111,PATH
112,PATH
113,PATH
114,PATH
115,PATH
116,PATH
117,PATH
118,PATH
119,PATH
120,PATH
121,PATH
122,PATH
123,PATH
124,PATH
125,PATH
126,PATH
127,PATH
128,PATH
129,PATH
130,PATH
131,PATH
132,PATH
133,PATH
134,PATH
135,PATH
136,PATH
137,WINDOW
138,WINDOW
139,WINDOW
140,WINDOW
141,WINDOW
142,WINDOW
143,WINDOW
144,WINDOW
145,WINDOW
146,WINDOW
147,WINDOW
148,WINDOW
149,WINDOW
150,WINDOW
151,WINDOW
152,WINDOW
153,WINDOW
154,WINDOW
155,WINDOW
156,WINDOW
157,WINDOW
158,WINDOW
159,WINDOW
160,WINDOW
161,WINDOW
162,WINDOW
163,WINDOW
164,WINDOW
165,WINDOW
166,WINDOW
167,WINDOW
168,WINDOW
169,WINDOW
170,WINDOW
171,WINDOW
172,WINDOW
173,WINDOW
174,WINDOW
175,WINDOW
176,WINDOW
177,WINDOW
178,WINDOW
179,WINDOW
180,WINDOW
181,WINDOW
182,WINDOW
183,WINDOW
184,WINDOW
185,WINDOW
186,WINDOW
187,WINDOW
188,WINDOW
189,WINDOW
190,WINDOW
191,WINDOW
192,WINDOW
193,WINDOW
194,WINDOW
195,WINDOW
196,WINDOW
197,WINDOW
198,WINDOW
199,WINDOW
200,WINDOW
201,WINDOW
202,WINDOW
203,WINDOW
204,WINDOW
205,WINDOW
206,WINDOW
207,WINDOW
208,WINDOW
209,WINDOW
210,WINDOW
211,WINDOW
212,WINDOW
213,WINDOW
214,WINDOW
215,WINDOW
216,WINDOW
217,WINDOW
218,WINDOW
219,WINDOW
220,WINDOW
221,WINDOW
222,WINDOW
223,WINDOW
224,WINDOW
225,WINDOW
226,WINDOW
227,WINDOW
228,WINDOW
229,WINDOW
230,WINDOW
231,WINDOW
232,WINDOW
233,CEMENT
234,CEMENT
235,CEMENT
236,CEMENT
237,CEMENT
238,CEMENT
239,CEMENT
240,CEMENT
241,CEMENT
242,CEMENT
243,CEMENT
244,CEMENT
245,CEMENT
246,CEMENT
247,CEMENT
248,CEMENT
249,CEMENT
250,CEMENT
251,CEMENT
252,CEMENT
253,CEMENT
254,CEMENT
255,CEMENT
256,CEMENT
257,CEMENT
258,CEMENT
259,CEMENT
260,CEMENT
261,CEMENT
262,CEMENT
263,CEMENT
264,CEMENT
265,CEMENT
266,CEMENT
267,CEMENT
268,CEMENT
269,CEMENT
270,CEMENT
271,CEMENT
272,CEMENT
273,CEMENT
274,CEMENT
275,CEMENT
276,CEMENT
277,CEMENT
278,CEMENT
279,CEMENT
280,CEMENT
281,CEMENT
282,CEMENT
283,CEMENT
284,CEMENT
285,CEMENT
286,CEMENT
287,CEMENT
288,CEMENT
289,CEMENT
290,CEMENT
291,CEMENT
292,CEMENT
293,CEMENT
294,CEMENT
295,CEMENT
296,CEMENT
297,CEMENT
298,CEMENT
299,CEMENT
300,CEMENT
301,CEMENT
302,CEMENT
303,CEMENT
304,CEMENT
305,CEMENT
306,CEMENT
307,CEMENT
308,CEMENT
309,CEMENT
310,CEMENT
311,CEMENT
312,CEMENT
313,CEMENT
314,CEMENT
315,CEMENT
316,CEMENT
317,CEMENT
318,CEMENT
319,CEMENT
320,CEMENT
321,CEMENT
322,CEMENT
323,CEMENT
324,CEMENT
325,CEMENT
326,CEMENT
327,CEMENT
328,CEMENT
329,CEMENT
330,CEMENT
331,CEMENT
332,CEMENT
333,CEMENT
334,CEMENT
335,CEMENT
336,CEMENT
337,CEMENT
338,CEMENT
339,CEMENT
340,CEMENT
341,CEMENT
342,CEMENT
343,CEMENT
344,CEMENT
345,CEMENT
346,CEMENT
347,CEMENT
348,CEMENT
349,CEMENT
350,CEMENT
351,CEMENT
352,CEMENT
353,CEMENT
354,CEMENT
355,CEMENT
356,CEMENT
357,CEMENT
358,CEMENT
359,CEMENT
360,CEMENT
361,CEMENT
362,CEMENT
363,CEMENT
364,CEMENT
365,CEMENT
366,CEMENT
367,CEMENT
368,CEMENT
369,CEMENT
370,CEMENT
371,CEMENT
372,CEMENT
373,CEMENT
374,CEMENT
375,CEMENT
376,CEMENT
377,CEMENT
378,CEMENT
379,CEMENT
380,CEMENT
381,CEMENT
382,CEMENT
383,CEMENT
384,CEMENT
385,CEMENT
386,CEMENT
387,CEMENT
388,CEMENT
389,CEMENT
390,CEMENT
391,CEMENT
392,CEMENT
393,CEMENT
394,FOLIAGE
395,FOLIAGE
396,FOLIAGE
397,FOLIAGE
398,FOLIAGE
399,FOLIAGE
400,FOLIAGE
401,FOLIAGE
402,FOLIAGE
403,FOLIAGE
404,FOLIAGE
405,FOLIAGE
406,FOLIAGE
407,FOLIAGE
408,FOLIAGE
409,FOLIAGE
410,FOLIAGE
411,FOLIAGE
412,FOLIAGE
413,FOLIAGE
414,FOLIAGE
415,FOLIAGE
416,FOLIAGE
417,FOLIAGE
418,FOLIAGE
419,FOLIAGE
420,FOLIAGE
421,FOLIAGE
422,FOLIAGE
423,FOLIAGE
424,FOLIAGE
425,FOLIAGE
426,FOLIAGE
427,FOLIAGE
428,FOLIAGE
429,FOLIAGE
430,FOLIAGE
431,FOLIAGE
