d3mIndex,class
0,BRICKFACE
1,BRICKFACE
2,BRICKFACE
3,BRICKFACE
4,BRICKFACE
5,BRICKFACE
6,BRICKFACE
7,BRICKFACE
8,BRICKFACE
9,BRICKFACE
10,BRICKFACE
11,BRICKFACE
12,BRICKFACE
13,BRICKFACE
14,BRICKFACE
15,BRICKFACE
16,BRICKFACE
17,BRICKFACE
18,BRICKFACE
19,BRICKFACE
20,BRICKFACE
21,BRICKFACE
22,BRICKFACE
23,BRICKFACE
24,BRICKFACE
25,BRICKFACE
26,BRICKFACE
27,BRICKFACE
28,BRICKFACE
29,BRICKFACE
30,SKY
31,SKY
32,SKY
33,SKY
34,SKY
35,SKY
36,SKY
37,SKY
38,SKY
39,SKY
40,SKY
41,SKY
42,SKY
43,SKY
44,SKY
45,SKY
46,SKY
47,SKY
48,SKY
49,SKY
50,SKY
51,SKY
52,SKY
53,SKY
54,SKY
55,SKY
56,SKY
57,SKY
58,SKY
59,SKY
60,FOLIAGE
61,FOLIAGE
62,FOLIAGE
63,FOLIAGE
64,FOLIAGE
65,FOLIAGE
66,FOLIAGE
67,FOLIAGE
68,FOLIAGE
69,FOLIAGE
70,FOLIAGE
71,FOLIAGE
72,FOLIAGE
73,FOLIAGE
74,FOLIAGE
75,FOLIAGE
76,FOLIAGE
77,FOLIAGE
78,FOLIAGE
79,FOLIAGE
80,FOLIAGE
81,FOLIAGE
82,FOLIAGE
83,FOLIAGE
84,FOLIAGE
85,FOLIAGE
86,FOLIAGE
87,FOLIAGE
88,FOLIAGE
89,FOLIAGE
90,CEMENT
91,CEMENT
92,CEMENT
93,CEMENT
94,CEMENT
95,CEMENT
96,CEMENT
97,CEMENT
98,CEMENT
99,CEMENT
100,CEMENT
101,CEMENT
102,CEMENT
103,CEMENT
104,CEMENT
105,CEMENT
106,CEMENT
107,CEMENT
108,CEMENT
109,CEMENT
110,CEMENT
111,CEMENT
112,CEMENT
113,CEMENT
114,CEMENT
115,CEMENT
116,CEMENT
117,CEMENT
118,CEMENT
119,CEMENT
120,WINDOW
121,WINDOW
122,WINDOW
123,WINDOW
124,WINDOW
125,WINDOW
126,WINDOW
127,WINDOW
128,WINDOW
129,WINDOW
130,WINDOW
131,WINDOW
132,WINDOW
133,WINDOW
134,WINDOW
135,WINDOW
136,WINDOW
137,WINDOW
138,WINDOW
139,WINDOW
140,WINDOW
141,WINDOW
142,WINDOW
143,WINDOW
144,WINDOW
145,WINDOW
146,WINDOW
147,WINDOW
148,WINDOW
149,WINDOW
150,PATH
151,PATH
152,PATH
153,PATH
154,PATH
155,PATH
156,PATH
157,PATH
158,PATH
159,PATH
160,PATH
161,PATH
162,PATH
163,PATH
164,PATH
165,PATH
166,PATH
167,PATH
168,PATH
169,PATH
170,PATH
171,PATH
172,PATH
173,PATH
174,PATH
175,PATH
176,PATH
177,PATH
178,PATH
179,PATH
180,GRASS
181,GRASS
182,GRASS
183,GRASS
184,GRASS
185,GRASS
186,GRASS
187,GRASS
188,GRASS
189,GRASS
190,GRASS
191,GRASS
192,GRASS
193,GRASS
194,GRASS
195,GRASS
196,GRASS
197,GRASS
198,GRASS
199,GRASS
200,GRASS
201,GRASS
202,GRASS
203,GRASS
204,GRASS
205,GRASS
206,GRASS
207,GRASS
208,GRASS
209,GRASS
