radonFile_index,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code
5081,MN,MN,27.0,55735,5.0,1.0,1.0,3.0,N, ,2,4.0,41,930.0,930.0,12088.0,12288.0,2.2,9.7,1146.49919,1.0,0.0,1.0,AITKIN,27001.0,0.502054,0
5082,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, ,5,2.0,40,1615.0,1615.0,11888.0,12088.0,2.2,14.5,471.3662230000001,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0
5083,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, ,3,2.0,42,1030.0,1515.0,20288.0,21188.0,2.9,9.6,433.316718,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0
5084,MN,MN,27.0,56469,5.0,1.0,0.0,4.0,Y, ,2,2.0,24,1410.0,1410.0,122987.0,123187.0,1.0,24.3,461.62367,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0
5085,MN,MN,27.0,55011,3.0,1.0,0.0,4.0,Y, ,3,2.0,40,600.0,600.0,12888.0,13088.0,3.1,13.8,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5086,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,5,2.0,22,900.0,1300.0,120287.0,121187.0,2.5,12.8,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5087,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,5,2.0,28,2000.0,2025.0,121887.0,122087.0,1.5,14.5,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5088,MN,MN,27.0,55014,3.0,1.0,0.0,2.0,Y, ,3,2.0,33,800.0,1000.0,122587.0,122787.0,1.0,18.0,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5089,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,3,2.0,36,1000.0,1730.0,10188.0,10188.0,0.7,25.1,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5090,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,2,2.0,44,900.0,900.0,20288.0,20288.0,1.2,17.5,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5091,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,2,2.0,47,1040.0,1040.0,20288.0,20288.0,1.2,20.2,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5092,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,5,2.0,4,610.0,610.0,22988.0,30388.0,1.3,23.3,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5093,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, ,4,2.0,3,1130.0,1221.0,30388.0,31088.0,1.4,18.7,461.274696,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5094,MN,MN,27.0,55025,3.0,1.0,0.0,2.0,Y, ,2,2.0,22,815.0,815.0,121287.0,121487.0,0.4,0.0,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5095,MN,MN,27.0,55025,3.0,0.0,0.0,0.0, , ,5,2.0,26,1400.0,1400.0,121687.0,121887.0,1.1,18.8,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5096,MN,MN,27.0,55025,3.0,1.0,0.0,0.0,Y, ,2,2.0,41,1600.0,1600.0,12688.0,12888.0,4.5,7.0,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5097,MN,MN,27.0,55025,3.0,1.0,0.0,4.0,Y, ,1,2.0,43,1205.0,1205.0,12088.0,12288.0,1.3,33.2,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5098,MN,MN,27.0,55025,3.0,1.0,0.0,4.0,Y, ,4,2.0,48,2000.0,2000.0,22188.0,22388.0,2.1,10.1,461.274696,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5099,MN,MN,27.0,55038,3.0,1.0,0.0,4.0,Y, ,5,2.0,49,1110.0,1110.0,33188.0,40488.0,5.9,5.7,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5100,MN,MN,27.0,55070,3.0,1.0,0.0,2.0,Y, ,2,2.0,1,1900.0,1900.0,22388.0,22588.0,3.3,8.4,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5101,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,5,2.0,22,1930.0,1930.0,120287.0,121087.0,1.8,14.4,471.3662230000001,1.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5102,MN,MN,27.0,55303,3.0,0.0,0.0,0.0, , ,2,2.0,30,1630.0,1620.0,121987.0,122187.0,5.4,5.6,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5103,MN,MN,27.0,55303,3.0,1.0,0.0,4.0,Y, ,2,2.0,33,1815.0,1815.0,122887.0,123087.0,6.3,6.1,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5104,MN,MN,27.0,55303,3.0,1.0,0.0,5.0,Y, ,5,2.0,30,1900.0,1900.0,122887.0,123087.0,1.9,13.7,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5105,MN,MN,27.0,55303,3.0,1.0,0.0,4.0,Y, ,2,2.0,37,1500.0,1530.0,10188.0,10188.0,6.6,8.9,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5106,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,5,2.0,38,1000.0,1600.0,122887.0,123087.0,3.1,9.9,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5107,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,3,2.0,43,1730.0,1730.0,11688.0,11888.0,6.8,4.9,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5108,MN,MN,27.0,55303,3.0,1.0,0.0,4.0,Y, ,1,2.0,41,1750.0,1645.0,12888.0,13088.0,7.0,4.6,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5109,MN,MN,27.0,55303,3.0,1.0,0.0,7.0,Y, ,2,2.0,44,2210.0,2210.0,20288.0,20288.0,7.7,4.5,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5110,MN,MN,27.0,55303,3.0,1.0,0.0,4.0,Y, ,1,2.0,48,1700.0,1700.0,20288.0,20288.0,5.2,4.8,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5111,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,2,2.0,48,1530.0,1530.0,21388.0,21588.0,4.5,5.9,461.62367,1.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5112,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,5,2.0,48,1830.0,1830.0,20288.0,20288.0,4.4,7.2,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5113,MN,MN,27.0,55303,3.0,1.0,0.0,2.0,Y, ,1,2.0,2,2030.0,2030.0,22688.0,22888.0,2.8,8.4,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5114,MN,MN,27.0,55303,3.0,1.0,0.0,4.0,Y, ,3,2.0,4,1501.0,1500.0,31888.0,32088.0,8.1,8.7,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5115,MN,MN,27.0,55303,3.0,0.0,0.0,0.0, , ,3,2.0,2,800.0,900.0,30388.0,31188.0,1.6,12.8,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5116,MN,MN,27.0,55304,3.0,1.0,0.0,0.0,Y, ,3,2.0,22,1905.0,1325.0,120287.0,121187.0,4.2,9.5,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5117,MN,MN,27.0,55304,3.0,0.0,0.0,0.0, , ,1,2.0,23,2040.0,2230.0,32288.0,32688.0,5.4,10.2,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5118,MN,MN,27.0,55304,3.0,1.0,0.0,2.0,Y, ,1,2.0,28,1600.0,1815.0,121387.0,121587.0,4.0,9.9,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5119,MN,MN,27.0,55304,3.0,1.0,0.0,4.0,Y, ,5,2.0,34,1003.0,1003.0,11488.0,11688.0,2.3,10.1,471.3662230000001,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5120,MN,MN,27.0,55304,3.0,1.0,0.0,4.0,Y, ,1,2.0,40,810.0,600.0,20288.0,20288.0,2.9,9.0,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5121,MN,MN,27.0,55304,3.0,1.0,0.0,4.0,Y, ,1,2.0,38,900.0,900.0,20288.0,20288.0,1.4,21.6,485.435931,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
5122,MN,MN,27.0,55304,3.0,1.0,0.0,4.0,Y, ,3,2.0,46,2300.0,2300.0,12688.0,12888.0,3.3,8.4,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1
