d3mIndex,radonFile,radonFile_index
631,radon.csv,5712
357,radon.csv,5438
594,radon.csv,5675
511,radon.csv,5592
725,radon.csv,5806
51,radon.csv,5132
610,radon.csv,5691
184,radon.csv,5265
197,radon.csv,5278
626,radon.csv,5707
523,radon.csv,5604
280,radon.csv,5361
522,radon.csv,5603
43,radon.csv,5124
465,radon.csv,5546
777,radon.csv,5858
633,radon.csv,5714
682,radon.csv,5763
729,radon.csv,5810
229,radon.csv,5310
282,radon.csv,5363
752,radon.csv,5833
320,radon.csv,5401
686,radon.csv,5767
266,radon.csv,5347
779,radon.csv,5860
380,radon.csv,5461
23,radon.csv,5104
643,radon.csv,5724
557,radon.csv,5638
615,radon.csv,5696
108,radon.csv,5189
351,radon.csv,5432
707,radon.csv,5788
710,radon.csv,5791
249,radon.csv,5330
264,radon.csv,5345
154,radon.csv,5235
632,radon.csv,5713
720,radon.csv,5801
582,radon.csv,5663
674,radon.csv,5755
19,radon.csv,5100
442,radon.csv,5523
173,radon.csv,5254
852,radon.csv,5933
872,radon.csv,5953
439,radon.csv,5520
180,radon.csv,5261
756,radon.csv,5837
367,radon.csv,5448
330,radon.csv,5411
188,radon.csv,5269
844,radon.csv,5925
767,radon.csv,5848
702,radon.csv,5783
155,radon.csv,5236
525,radon.csv,5606
464,radon.csv,5545
212,radon.csv,5293
895,radon.csv,5976
0,radon.csv,5081
285,radon.csv,5366
706,radon.csv,5787
537,radon.csv,5618
228,radon.csv,5309
613,radon.csv,5694
738,radon.csv,5819
662,radon.csv,5743
748,radon.csv,5829
115,radon.csv,5196
300,radon.csv,5381
775,radon.csv,5856
488,radon.csv,5569
709,radon.csv,5790
467,radon.csv,5548
445,radon.csv,5526
160,radon.csv,5241
559,radon.csv,5640
122,radon.csv,5203
263,radon.csv,5344
277,radon.csv,5358
39,radon.csv,5120
861,radon.csv,5942
400,radon.csv,5481
11,radon.csv,5092
165,radon.csv,5246
100,radon.csv,5181
571,radon.csv,5652
513,radon.csv,5594
246,radon.csv,5327
638,radon.csv,5719
377,radon.csv,5458
459,radon.csv,5540
487,radon.csv,5568
133,radon.csv,5214
73,radon.csv,5154
408,radon.csv,5489
468,radon.csv,5549
47,radon.csv,5128
307,radon.csv,5388
120,radon.csv,5201
436,radon.csv,5517
512,radon.csv,5593
114,radon.csv,5195
796,radon.csv,5877
157,radon.csv,5238
907,radon.csv,5988
333,radon.csv,5414
210,radon.csv,5291
483,radon.csv,5564
661,radon.csv,5742
517,radon.csv,5598
336,radon.csv,5417
430,radon.csv,5511
238,radon.csv,5319
842,radon.csv,5923
34,radon.csv,5115
234,radon.csv,5315
790,radon.csv,5871
915,radon.csv,5996
518,radon.csv,5599
509,radon.csv,5590
827,radon.csv,5908
28,radon.csv,5109
179,radon.csv,5260
712,radon.csv,5793
72,radon.csv,5153
722,radon.csv,5803
252,radon.csv,5333
503,radon.csv,5584
170,radon.csv,5251
293,radon.csv,5374
675,radon.csv,5756
424,radon.csv,5505
639,radon.csv,5720
101,radon.csv,5182
267,radon.csv,5348
815,radon.csv,5896
239,radon.csv,5320
884,radon.csv,5965
61,radon.csv,5142
575,radon.csv,5656
230,radon.csv,5311
31,radon.csv,5112
26,radon.csv,5107
399,radon.csv,5480
807,radon.csv,5888
606,radon.csv,5687
215,radon.csv,5296
401,radon.csv,5482
617,radon.csv,5698
48,radon.csv,5129
532,radon.csv,5613
117,radon.csv,5198
705,radon.csv,5786
851,radon.csv,5932
646,radon.csv,5727
105,radon.csv,5186
1,radon.csv,5082
879,radon.csv,5960
348,radon.csv,5429
744,radon.csv,5825
33,radon.csv,5114
699,radon.csv,5780
185,radon.csv,5266
426,radon.csv,5507
353,radon.csv,5434
829,radon.csv,5910
724,radon.csv,5805
495,radon.csv,5576
308,radon.csv,5389
203,radon.csv,5284
470,radon.csv,5551
201,radon.csv,5282
97,radon.csv,5178
558,radon.csv,5639
342,radon.csv,5423
482,radon.csv,5563
568,radon.csv,5649
889,radon.csv,5970
679,radon.csv,5760
38,radon.csv,5119
41,radon.csv,5122
