d3mIndex,radonFile,radonFile_index
258,radon.csv,5339
515,radon.csv,5596
317,radon.csv,5398
865,radon.csv,5946
871,radon.csv,5952
9,radon.csv,5090
345,radon.csv,5426
535,radon.csv,5616
265,radon.csv,5346
616,radon.csv,5697
405,radon.csv,5486
254,radon.csv,5335
794,radon.csv,5875
691,radon.csv,5772
625,radon.csv,5706
286,radon.csv,5367
381,radon.csv,5462
666,radon.csv,5747
318,radon.csv,5399
486,radon.csv,5567
908,radon.csv,5989
739,radon.csv,5820
410,radon.csv,5491
323,radon.csv,5404
846,radon.csv,5927
352,radon.csv,5433
484,radon.csv,5565
347,radon.csv,5428
811,radon.csv,5892
660,radon.csv,5741
481,radon.csv,5562
603,radon.csv,5684
531,radon.csv,5612
199,radon.csv,5280
125,radon.csv,5206
156,radon.csv,5237
54,radon.csv,5135
443,radon.csv,5524
787,radon.csv,5868
670,radon.csv,5751
89,radon.csv,5170
297,radon.csv,5378
566,radon.csv,5647
912,radon.csv,5993
906,radon.csv,5987
186,radon.csv,5267
218,radon.csv,5299
755,radon.csv,5836
216,radon.csv,5297
118,radon.csv,5199
810,radon.csv,5891
534,radon.csv,5615
866,radon.csv,5947
836,radon.csv,5917
384,radon.csv,5465
476,radon.csv,5557
339,radon.csv,5420
81,radon.csv,5162
128,radon.csv,5209
591,radon.csv,5672
506,radon.csv,5587
138,radon.csv,5219
833,radon.csv,5914
763,radon.csv,5844
270,radon.csv,5351
62,radon.csv,5143
856,radon.csv,5937
20,radon.csv,5101
463,radon.csv,5544
728,radon.csv,5809
696,radon.csv,5777
862,radon.csv,5943
275,radon.csv,5356
803,radon.csv,5884
406,radon.csv,5487
504,radon.csv,5585
887,radon.csv,5968
841,radon.csv,5922
174,radon.csv,5255
554,radon.csv,5635
204,radon.csv,5285
819,radon.csv,5900
913,radon.csv,5994
259,radon.csv,5340
743,radon.csv,5824
640,radon.csv,5721
773,radon.csv,5854
109,radon.csv,5190
858,radon.csv,5939
260,radon.csv,5341
477,radon.csv,5558
747,radon.csv,5828
272,radon.csv,5353
704,radon.csv,5785
472,radon.csv,5553
96,radon.csv,5177
904,radon.csv,5985
191,radon.csv,5272
79,radon.csv,5160
471,radon.csv,5552
848,radon.csv,5929
83,radon.csv,5164
508,radon.csv,5589
329,radon.csv,5410
365,radon.csv,5446
152,radon.csv,5233
164,radon.csv,5245
281,radon.csv,5362
658,radon.csv,5739
171,radon.csv,5252
760,radon.csv,5841
416,radon.csv,5497
498,radon.csv,5579
698,radon.csv,5779
510,radon.csv,5591
396,radon.csv,5477
303,radon.csv,5384
349,radon.csv,5430
792,radon.csv,5873
812,radon.csv,5893
371,radon.csv,5452
730,radon.csv,5811
648,radon.csv,5729
898,radon.csv,5979
627,radon.csv,5708
227,radon.csv,5308
489,radon.csv,5570
548,radon.csv,5629
132,radon.csv,5213
604,radon.csv,5685
700,radon.csv,5781
313,radon.csv,5394
32,radon.csv,5113
583,radon.csv,5664
84,radon.csv,5165
541,radon.csv,5622
565,radon.csv,5646
708,radon.csv,5789
287,radon.csv,5368
90,radon.csv,5171
742,radon.csv,5823
783,radon.csv,5864
916,radon.csv,5997
788,radon.csv,5869
343,radon.csv,5424
579,radon.csv,5660
161,radon.csv,5242
60,radon.csv,5141
733,radon.csv,5814
456,radon.csv,5537
189,radon.csv,5270
864,radon.csv,5945
868,radon.csv,5949
139,radon.csv,5220
305,radon.csv,5386
198,radon.csv,5279
520,radon.csv,5601
731,radon.csv,5812
304,radon.csv,5385
166,radon.csv,5247
431,radon.csv,5512
618,radon.csv,5699
838,radon.csv,5919
361,radon.csv,5442
723,radon.csv,5804
828,radon.csv,5909
847,radon.csv,5928
65,radon.csv,5146
601,radon.csv,5682
370,radon.csv,5451
737,radon.csv,5818
311,radon.csv,5392
15,radon.csv,5096
24,radon.csv,5105
516,radon.csv,5597
87,radon.csv,5168
581,radon.csv,5662
914,radon.csv,5995
438,radon.csv,5519
539,radon.csv,5620
134,radon.csv,5215
817,radon.csv,5898
502,radon.csv,5583
857,radon.csv,5938
533,radon.csv,5614
766,radon.csv,5847
746,radon.csv,5827
95,radon.csv,5176
59,radon.csv,5140
890,radon.csv,5971
599,radon.csv,5680
17,radon.csv,5098
716,radon.csv,5797
187,radon.csv,5268
220,radon.csv,5301
529,radon.csv,5610
231,radon.csv,5312
577,radon.csv,5658
75,radon.csv,5156
757,radon.csv,5838
341,radon.csv,5422
404,radon.csv,5485
50,radon.csv,5131
690,radon.csv,5771
21,radon.csv,5102
455,radon.csv,5536
667,radon.csv,5748
237,radon.csv,5318
289,radon.csv,5370
334,radon.csv,5415
761,radon.csv,5842
896,radon.csv,5977
822,radon.csv,5903
219,radon.csv,5300
288,radon.csv,5369
475,radon.csv,5556
144,radon.csv,5225
813,radon.csv,5894
13,radon.csv,5094
820,radon.csv,5901
816,radon.csv,5897
211,radon.csv,5292
29,radon.csv,5110
736,radon.csv,5817
71,radon.csv,5152
137,radon.csv,5218
574,radon.csv,5655
585,radon.csv,5666
402,radon.csv,5483
598,radon.csv,5679
112,radon.csv,5193
3,radon.csv,5084
358,radon.csv,5439
207,radon.csv,5288
451,radon.csv,5532
778,radon.csv,5859
850,radon.csv,5931
27,radon.csv,5108
713,radon.csv,5794
233,radon.csv,5314
892,radon.csv,5973
35,radon.csv,5116
798,radon.csv,5879
536,radon.csv,5617
356,radon.csv,5437
689,radon.csv,5770
538,radon.csv,5619
30,radon.csv,5111
457,radon.csv,5538
135,radon.csv,5216
701,radon.csv,5782
551,radon.csv,5632
849,radon.csv,5930
256,radon.csv,5337
387,radon.csv,5468
368,radon.csv,5449
806,radon.csv,5887
860,radon.csv,5941
440,radon.csv,5521
458,radon.csv,5539
714,radon.csv,5795
92,radon.csv,5173
855,radon.csv,5936
409,radon.csv,5490
182,radon.csv,5263
5,radon.csv,5086
902,radon.csv,5983
881,radon.csv,5962
255,radon.csv,5336
70,radon.csv,5151
776,radon.csv,5857
703,radon.csv,5784
882,radon.csv,5963
236,radon.csv,5317
873,radon.csv,5954
635,radon.csv,5716
870,radon.csv,5951
