d3mIndex,LRS-name,ID-type,Right-Ascension,Declination,Scale_Factor,Blue_base_1,Blue_base_2,Red_base_1,Red_base_2,blue-band-flux_1,blue-band-flux_2,blue-band-flux_3,blue-band-flux_4,blue-band-flux_5,blue-band-flux_6,blue-band-flux_7,blue-band-flux_8,blue-band-flux_9,blue-band-flux_10,blue-band-flux_11,blue-band-flux_12,blue-band-flux_13,blue-band-flux_14,blue-band-flux_15,blue-band-flux_16,blue-band-flux_17,blue-band-flux_18,blue-band-flux_19,blue-band-flux_20,blue-band-flux_21,blue-band-flux_22,blue-band-flux_23,blue-band-flux_24,blue-band-flux_25,blue-band-flux_26,blue-band-flux_27,blue-band-flux_28,blue-band-flux_29,blue-band-flux_30,blue-band-flux_31,blue-band-flux_32,blue-band-flux_33,blue-band-flux_34,blue-band-flux_35,blue-band-flux_36,blue-band-flux_37,blue-band-flux_38,blue-band-flux_39,blue-band-flux_40,blue-band-flux_41,blue-band-flux_42,blue-band-flux_43,blue-band-flux_44,red-band-flux_1,red-band-flux_2,red-band-flux_3,red-band-flux_4,red-band-flux_5,red-band-flux_6,red-band-flux_7,red-band-flux_8,red-band-flux_9,red-band-flux_10,red-band-flux_11,red-band-flux_12,red-band-flux_13,red-band-flux_14,red-band-flux_15,red-band-flux_16,red-band-flux_17,red-band-flux_18,red-band-flux_19,red-band-flux_20,red-band-flux_21,red-band-flux_22,red-band-flux_23,red-band-flux_24,red-band-flux_25,red-band-flux_26,red-band-flux_27,red-band-flux_28,red-band-flux_29,red-band-flux_30,red-band-flux_31,red-band-flux_32,red-band-flux_33,red-band-flux_34,red-band-flux_35,red-band-flux_36,red-band-flux_37,red-band-flux_38,red-band-flux_39,red-band-flux_40,red-band-flux_41,red-band-flux_42,red-band-flux_43,red-band-flux_44,red-band-flux_45,red-band-flux_46,red-band-flux_47,red-band-flux_48,red-band-flux_49
0,17047-5650,2,17.08,-56.849,8.49e-16,306.0,385.0,255.0,255.0,14624.979,15317.27,15376.685,14078.036,12760.364,11886.451,10754.957,9792.09,8647.973,7678.8364,7010.311,6734.6353,6396.974,6235.8755,5888.743,5635.47,5539.6724,5439.1313,5341.7993,5254.037,5104.278,5236.029,5320.096,5672.948,5968.573,6073.38,5899.901,5489.486,5179.278,5115.589,5271.3823,5082.0933,4913.496,5042.3047,4921.4478,4867.401,4783.152,4660.7515,4485.8823,4406.448,4195.03,4040.8762,4036.2256,3754.8713,5860.3296,5453.208,5475.472,5457.979,5240.1045,5133.553,4966.57,4611.928,4096.6646,3994.8843,3778.6006,3524.1497,3457.356,3393.7432,3249.024,3255.3853,3099.534,3115.4373,3117.0273,3110.6663,3198.1338,3117.0273,3166.3274,3120.208,3043.8728,2997.7534,2919.828,2985.0308,3059.776,2961.176,2973.8987,3020.0178,2895.973,2894.3826,2810.0955,2701.9539,2840.3118,2743.3022,2596.9927,2716.2666,2738.5313,2643.112,2641.5217,2577.909,2674.9185,2703.5442,2507.9348,2356.8545,2086.5
1,20275+4001,3,20.46,40.019,2.51e-15,219.0,152.0,76.0,198.0,15154.167,15150.189,14191.825,12232.675,10087.867,8397.748,6808.1216,5520.0645,4448.509,3534.6821,2840.4558,2452.448,2234.5486,2098.595,2072.4307,2117.3901,2225.7385,2400.5725,2462.4727,2597.0457,2757.8916,2893.9707,3082.6172,3306.8206,3496.9768,3891.284,4237.625,4636.5376,4899.324,5211.5903,5540.854,5778.848,5979.707,6254.7944,6415.4126,6633.2456,6728.876,6710.0356,6694.28,6755.845,6645.7153,6594.3506,6522.8667,6462.2007,2601.3157,2912.4116,3621.2205,4579.238,5568.36,6457.1006,6902.0737,7170.8525,7135.048,6890.5493,6715.7593,6575.096,6303.053,6014.086,5568.9805,5300.2813,4977.518,4735.2563,4400.2573,4232.369,4052.166,3957.0913,3869.8054,3815.0537,3664.456,3541.7483,3531.997,3474.3438,3500.2576,3464.3438,3494.979,3544.213,3602.767,3673.73,3716.8877,3640.981,3894.5598,3877.4944,3783.1248,3950.1807,4004.355,3852.844,3876.1404,3965.9731,4018.7107,3953.9233,4029.9124,3887.8381,3540.0725
2,19412+0337,4,19.688,3.621,5.3e-16,411.0,422.0,395.0,377.0,6844.4116,7135.508,7577.876,7283.3696,8011.6235,8211.163,8717.395,9567.789,10684.631,11791.767,12708.786,13051.295,13298.055,13013.319,12789.648,12529.901,11724.781,11520.55,10862.537,10458.4795,10316.706,9787.759,9222.735,8666.04,8417.424,7981.466,7281.843,7045.723,6373.8594,5837.995,5476.9863,5261.691,5039.4585,4432.829,4089.869,3962.0078,3913.2488,3625.803,3442.4382,3506.0906,3292.199,3069.9827,2817.2383,2751.8381,9171.485,8712.94,7932.4165,6624.5317,5423.4805,4545.747,3724.8923,3348.0918,2997.642,2690.1973,2539.5508,2290.3625,2271.525,2330.388,2108.9197,2010.9486,2057.2913,2048.1155,2002.85,2111.6138,2027.4756,2097.3674,2263.005,2128.8862,2028.0669,2018.8307,1984.6095,1983.6874,1855.0889,1840.2782,1761.6271,1762.0712,1615.4111,1500.6642,1534.399,1457.1115,1433.9407,1326.1144,1330.6896,1192.3253,1206.6069,1220.8848,1240.7097,976.0474,997.2532,1046.2098,924.47314,984.5251,922.4543
3,18039-0813,4,18.066,-8.227,2.89e-16,1151.0,1187.0,485.0,543.0,13058.773,12620.305,12431.5625,12278.308,11111.525,10077.744,10645.572,10445.132,10445.65,10094.547,10427.533,10858.052,10498.133,10448.502,9791.641,9610.539,9695.399,9014.937,8539.855,8499.165,8584.072,8086.862,7480.3286,7714.4907,7458.139,6867.8857,6791.8047,6536.9565,6285.0713,5613.59,5466.6216,5600.382,4920.0576,4982.9126,4963.035,4504.353,4571.66,4467.5864,4029.6067,4317.0767,3927.8662,3999.635,4000.49,3850.6475,8448.352,7588.696,7284.6665,6318.811,5274.725,5001.956,4559.3403,3850.8381,3860.4458,3692.808,3266.6592,2893.7446,2531.2144,2356.3643,2262.8125,2470.7026,2545.6526,2028.1654,1987.9342,2287.5527,1997.6837,2065.391,1827.2854,1939.3668,1656.9839,1899.1287,1764.5369,1547.227,1582.5864,1462.8291,1501.1803,1400.6658,1362.2234,1511.4371,1332.6661,1139.1356,1323.8553,1117.0575,957.5534,1194.0273,1161.6132,1095.2301,974.1927,765.9964,873.99286,1001.2083,1149.1196,633.65344,636.7932
4,15023-6916,0,15.039,-69.282,3.43e-16,922.0,880.0,674.0,661.0,18633.79,17561.234,16027.297,14969.0,14248.969,13471.486,12076.809,11740.085,11218.796,10642.115,9835.767,9898.745,9598.783,9009.694,8562.058,8262.025,8349.491,7743.9136,7306.4463,7276.983,7354.121,6965.81,6675.899,6689.427,6329.772,6337.1196,6153.7686,5718.208,5565.586,5398.5986,5342.318,5359.839,4856.5547,5212.363,4758.267,4722.4346,4528.7134,4324.73,4432.3936,4667.1694,4307.33,4408.8145,4217.0884,4382.1167,6407.1787,6711.478,6031.573,5474.6636,5374.961,5006.6387,4775.6714,4319.1445,3725.2263,3873.5247,3336.9856,3202.3047,2844.12,3010.8174,2023.147,2056.5476,2518.4644,1940.8357,2011.1133,1896.8485,1805.1298,1758.5106,1734.4379,1495.069,1419.7224,1506.3477,1207.4977,1447.8875,1374.5651,1338.1433,979.8086,1486.7228,1222.6937,1130.8906,1268.7234,939.068,1070.7402,823.0902,1036.768,903.9297,1021.2321,871.9827,589.45575,897.4302,908.0979,730.12836,593.1626,812.95703,942.53217
5,19007-3826,3,19.013,-38.444,6.47e-16,367.0,394.0,275.0,296.0,9341.303,9615.811,9716.626,9757.037,9582.753,9868.11,9571.935,9527.161,9659.345,10036.457,10079.108,10109.899,10378.066,10157.485,9980.068,9804.817,9554.048,9376.652,9039.582,8738.123,8395.67,8086.6694,7860.753,7617.578,7215.8057,7121.533,6780.1914,6443.1694,6286.333,6143.5273,5791.4126,5564.4585,5302.983,5058.7734,4891.1714,4746.232,4525.7695,4349.547,4294.168,4201.03,3996.7646,3821.6338,3799.714,3744.3506,8433.289,7653.581,6958.0547,6407.1274,5676.0386,4994.5996,4636.858,4203.6064,3836.1843,3557.2483,3329.035,3173.122,3061.4568,2941.1702,2806.8674,2796.6516,2801.5496,2728.7725,2636.583,2602.6633,2482.4363,2521.8987,2521.4468,2330.03,2300.4597,2236.369,2143.1528,2076.9155,2070.0247,1953.0878,1906.2863,1808.7794,1703.7249,1618.0953,1654.3895,1565.5315,1579.1761,1520.5361,1341.0596,1360.1101,1453.6105,1283.8547,1273.7843,1227.0336,1222.3643,1258.6976,1205.4824,1130.6915,1082.8766
6,20193+3527,4,20.322,35.459,1.84e-16,1928.0,2138.0,949.0,977.0,11261.462,11126.603,11309.721,10788.171,9220.122,9888.167,9364.201,8648.259,9096.3125,8720.998,8527.989,9171.261,9460.091,9863.418,10204.676,9794.567,9854.893,9700.586,9118.366,9284.826,8747.931,8870.721,8469.54,8055.698,7599.538,7445.6943,7000.9307,7172.0576,6514.0986,6060.9966,5946.932,5964.2676,5005.622,4757.4917,5026.363,4357.387,4622.0933,4700.389,4144.512,4135.301,4566.813,3817.5225,3887.5002,3634.0498,9306.487,8118.752,7462.1504,6951.0737,5814.305,4968.539,4590.3335,3936.7227,3729.48,3194.5662,2795.2725,2907.3167,2618.2363,2771.2808,2408.787,2406.4922,2490.3735,2455.6218,2402.5217,2452.5461,2318.9604,2401.4966,2197.3108,1904.1504,1955.6451,2306.5957,2235.2246,1967.5288,2021.8875,2114.3916,1771.8607,1706.1836,1615.0901,1742.9385,1424.4507,1678.0239,1478.1986,1306.6295,1201.4536,1154.1956,1437.4636,1281.4568,930.53375,1227.9442,1105.854,843.9337,1124.4105,1054.5977,802.57983
7,16127-7834,4,16.213,-78.574,9.6e-16,321.0,349.0,195.0,218.0,25957.156,23335.854,21264.838,19269.02,17844.957,16783.283,15434.441,14493.614,13662.865,12512.733,11695.458,11205.668,10533.379,10091.947,9559.276,8964.888,8383.94,8143.8926,7823.3384,7465.2227,7080.2817,6695.3545,6573.487,6357.687,5940.5933,5689.926,5441.9556,5381.886,5015.8374,4794.7427,4412.6123,4282.799,4150.3115,4095.6736,3791.4214,3755.591,3341.308,3377.9663,3293.8472,3223.1577,3061.2158,2987.8574,2944.032,2811.6382,6948.852,6297.3384,5664.6797,5058.925,4463.9614,3914.6785,3725.114,3149.08,2854.9175,2635.9478,2497.5364,2407.4714,2108.0752,1942.9141,1753.6224,1674.4058,1611.3173,1521.411,1316.1093,1451.7117,1198.1362,1108.3112,1090.9753,987.76514,852.3622,875.33813,997.64154,902.5464,681.3122,782.18567,730.0774,667.2453,789.6303,573.8278,604.9758,569.0319,484.78482,507.91302,496.15814,495.14935,499.51822,469.00314,443.86526,426.78873,310.40836,360.45184,378.29388,390.7757,400.581
8,18162-0246,3,18.27,-2.779,2.62e-16,1540.0,1677.0,701.0,719.0,11917.076,12439.391,12487.097,12147.715,11925.632,11576.0625,11259.215,10975.085,10447.739,9027.39,8365.183,7707.4883,8257.437,6972.3374,6866.687,7332.239,7090.2075,7122.671,6880.731,6990.4287,6819.7837,6233.794,5928.229,6505.388,6386.8193,6653.995,6501.3706,5933.398,5696.2754,5963.5786,5649.3755,6465.6353,5681.2134,5424.9487,5978.7046,5302.6563,5473.717,5267.9897,5838.16,5395.1167,4604.9517,5400.6826,5625.2813,4933.0894,7125.2983,6605.2217,6450.119,6302.46,5910.0454,5812.872,5445.7197,4881.2783,4834.6,4568.3784,4407.501,4451.3623,3706.0076,3539.2358,3378.4097,3299.1875,3001.8994,3039.895,2748.5605,2783.6082,2379.544,2503.6187,2417.0422,2078.2766,1899.737,1948.1823,1926.9087,1772.1255,1836.9084,1897.2468,1601.5476,1774.6438,1645.1091,1447.3379,1629.3508,1309.9412,1451.9089,1485.5846,1182.5076,1233.9941,1426.4186,989.8376,1194.1382,1330.2009,1243.7406,1093.4928,665.83154,930.97437,960.24176
9,19178-2620,3,19.298,-26.338,4.44e-16,599.0,651.0,588.0,668.0,7790.7114,7984.0376,8117.0864,8118.166,8456.1045,8518.69,8939.752,9366.526,9789.909,10295.245,10425.082,10668.7295,10413.9795,10087.556,10000.113,9506.445,9271.102,9080.15,8869.869,8779.085,8607.519,8336.963,8131.2803,7943.8164,7565.19,7343.6074,6902.414,6542.023,6229.434,5895.234,5605.4214,5288.3057,4909.7505,4624.5137,4311.9727,4199.7173,4068.1233,3778.3633,3620.61,3502.6921,3375.6765,3271.4258,3374.2854,3287.1155,7804.184,7531.607,6978.0576,6494.0127,5546.909,4473.57,4230.993,3808.6863,3512.7483,3183.8657,3129.2764,2962.0798,2905.3074,2787.1292,2832.8533,2805.7876,3045.034,2928.1409,2959.211,3018.7605,3111.3394,3085.6006,2831.163,2921.5466,2906.126,3001.1091,2843.4922,2726.8628,2775.2563,2568.7715,2619.4797,2691.8276,2315.8467,2233.471,2425.355,2051.7004,2415.446,2170.41,1861.665,1911.3846,1928.1179,1730.933,1723.7969,1819.0887,1806.2888,1695.6388,1544.0349,1559.7197,1592.4845
